Faixa,CA,Processo,Coordenador,Instituição,UF,Região,Recomendação CA,Aprovação,Custeio.Aprov,Capital.Aprov,Bolsas.Aprov,Total.Aprovado
Faixa A,AC,406079/2023-4,Maria Cristiane Barbosa Galvao,USP,SP,SE,Recomendada,Aprovada,0,9400,0,9400
Faixa A,AC,408022/2023-0,Adriano da Silva,FIOCRUZ,RJ,SE,Recomendada,Aprovada,17000,5000,23400,45400
Faixa A,AC,403984/2023-8,Francisco Alcides Cougo Junior,UFSM,RS,SU,Recomendada,Aprovada,11020,6000,0,17020
Faixa A,AC,407463/2023-2,Henrique Denes Hilgenberg Fernandes,IBICT,DF,CO,Recomendada,Aprovada,15000,0,23400,38400
Faixa A,AC,409518/2023-9,Fernanda Cristina Barbosa Pereira Queiroz,UFRN,RN,NE,Recomendada,Aprovada,10000,8900,17160,36060
Faixa B,AC,403228/2023-9,Simone Maria Andrade Pereira de Sa,UFF,RJ,SE,Recomendada,Aprovada,100000,0,0,100000
Faixa B,AC,402445/2023-6,Renata de Lima Silva,UFG,GO,CO,Recomendada,Aprovada,20000,10000,9240,39240
Faixa B,AC,421862/2023-8,Juliano Mendonca Domingues da Silva,UPE,PE,NE,Recomendada,Aprovada,11235,3439,35280,49954
Faixa B,AC,402728/2023-8,Claudia da Silva Pereira,PUC-Rio,RJ,SE,Recomendada,Aprovada,50000,25000,25200,100200
Faixa B,AC,408824/2023-9,Aparecido Jose Cirillo,UFES,ES,SE,Recomendada,Aprovada,30000,20000,26180,76180
Faixa B,AC,420589/2023-6,Rousiley Celi Moreira Maia,UFMG,MG,SE,Recomendada,Aprovada,60000,0,34320,94320
Faixa B,AC,404395/2023-6,Francisco Jose Aragao Pedroza Cunha,UFBA,BA,NE,Recomendada,Aprovada,24000,17000,15960,56960
Faixa B,AC,402888/2023-5,Fabio Henrique Pereira,UNB,DF,CO,Recomendada,Aprovada,30000.03,3000,27720,60720.03
Faixa B,AC,406887/2023-3,Felipe da Costa Trotta,UFF,RJ,SE,Recomendada,Aprovada,37500,8000,26040,71540
Faixa B,AC,403265/2023-1,Jose Claudio Alves de Oliveira,UFBA,BA,NE,Recomendada,Aprovada,37000,5391,18480,60871
Faixa B,AC,420752/2023-4,Debora Cristina Lopez,UFOP,MG,SE,Recomendada,Aprovada,100000,0,0,100000
Faixa B,AC,405088/2023-0,Tiago Costa Martins,UNIFESSPA,RS,SU,Recomendada,Aprovada,46280,0,34320,80600
Faixa B,AC,422023/2023-0,Luis Ricardo Silva Queiroz,UFPB,PB,NE,Recomendada,Aprovada,26000,16402,0,42402
Faixa B,AC,403350/2023-9,Patricia Rakel de Castro Sena,UFMA,MA,NE,Recomendada,Aprovada,19800,0,9240,29040
Faixa B,AC,404815/2023-5,Leticia Xavier de Lemos Capanema,UFMT,MT,CO,Recomendada,Aprovada,20000,27486,0,47486
Faixa B,AC,422139/2023-8,Sandra Cristina de Oliveira,UNESP,SP,SE,Recomendada,Aprovada,12000,9500,0,21500
Faixa B,AC,420325/2023-9,Edivanio Duarte de Souza,UFAL,AL,NE,Recomendada,Aprovada,11400,6000,65760,83160
Faixa B,AC,421357/2023-1,Marcos Galindo Lima,IBICT,PE,NE,Recomendada,Aprovada,34000,22000,8580,64580
Faixa B,AC,404474/2023-3,Jean Carlos Goncalves,UFPR,PR,SU,Recomendada,Aprovada,0,0,55440,55440
Faixa B,AC,421963/2023-9,Rogerio Aparecido Sa Ramalho,UFSCAR,SP,SE,Recomendada,Aprovada,8500,9000,25740,43240
Faixa A,AE,407489/2023-1,Veneziano de Castro Araujo,UNIFESP,SP,SE,Recomendada,Aprovada,23940,9000,0,32940
Faixa A,AE,421778/2023-7,Maria Micheliana da Costa Silva,UFV,MG,SE,Recomendada,Aprovada,27000,18000,0,45000
Faixa A,AE,403824/2023-0,Andre Luiz Correa,UNESP,SP,SE,Recomendada,Aprovada,36818.19,8181.81,0,45000
Faixa A,AE,407391/2023-1,Luiz Felipe Bruzzi Curi,UFMG,MG,SE,Recomendada,Aprovada,33200,11800,0,45000
Faixa A,AE,404627/2023-4,Antonio Carlos Diegues,UNICAMP,SP,SE,Recomendada,Aprovada,36701.24,8298.76,0,45000
Faixa A,AE,409256/2023-4,Alesandra de Araujo Benevides,UFC,CE,NE,Recomendada,Aprovada,26566.25,6400,0,32966.25
Faixa A,AE,409468/2023-1,Elizangela Aparecida dos Santos,UFVJM,MG,SE,Recomendada,Aprovada,8860,3500,0,12360
Faixa A,AE,405257/2023-6,Anderson Mutter Teixeira,UFG,GO,CO,Recomendada,Aprovada,38131.87,6868.13,0,45000
Faixa A,AE,408373/2023-7,Jose Claudio Rocha,CRDH,BA,NE,Recomendada,Aprovada,32500,12500,0,45000
Faixa A,AE,404049/2023-0,Manoel Xavier Pedroza Filho,EMBRAPA PESCA,TO,NO,Recomendada,Aprovada,37700,7300,0,45000
Faixa A,AE,402907/2023-0,Rosana Icassatti Corazza,UNICAMP,SP,SE,Recomendada,Aprovada,15395.66,14947.3,0,30342.96
Faixa A,AE,401889/2023-8,Joana D Arc Bardella Castro,UEG,GO,CO,Recomendada,Aprovada,17535.93,12605.45,0,30141.38
Faixa A,AE,421529/2023-7,Ricardo Firetti,APTA,SP,SE,Recomendada,Aprovada,29975,0,0,29975
Faixa A,AE,402622/2023-5,Fernanda Maria de Almeida,UFV,MG,SE,Recomendada,Aprovada,17200,10500,0,27700
Faixa A,AE,403864/2023-2,Moema Pereira Nunes,FEEVALE,RS,SU,Recomendada,Aprovada,37500,8000,0,45500
Faixa A,AE,408052/2023-6,Danyelle Karine Santos Branco,FGV-EESP,SP,SE,Recomendada,Aprovada,24974.6,14464.05,0,39438.65
Faixa A,AE,405193/2023-8,Bruno Benzaquen Perosa,UFU,MG,SE,Recomendada,Aprovada,20850,20000,0,40850
Faixa A,AE,405906/2023-4,Antonio Zanin,UFMS,MS,CO,Recomendada,Aprovada,34000,18000,0,52000
Faixa A,AE,404169/2023-6,Valdirene Gasparetto,UFSC,SC,SU,Recomendada,Aprovada,41800,6800,0,48600
Faixa A,AE,421397/2023-3,Aleix Altimiras Martin,UNICAMP,SP,SE,Recomendada,Aprovada,15632.5,9117.5,0,24750
Faixa A,AE,409028/2023-1,Edilean Kleber da Silva Bejarano Aragon,UFPB,PB,NE,Recomendada,Aprovada,0,15000,0,15000
Faixa A,AE,402726/2023-5,Paulo Sergio Fracalanza,UNICAMP,SP,SE,Recomendada,Aprovada,17250,7100,0,24350
Faixa A,AE,404005/2023-3,Elisa Yoshie Ichikawa,UEM,PR,SU,Recomendada,Aprovada,38000,6800,0,44800
Faixa A,AE,405708/2023-8,Melby Karina Zuniga Huertas,FEI,SP,SE,Recomendada,Aprovada,29000,0,0,29000
Faixa A,AE,407980/2023-7,Rafael Mesquita Pereira,FURG,RS,SU,Recomendada,Aprovada,4600,40400,0,45000
Faixa A,AE,403709/2023-7,Lucia Salmonson Guimaraes Barros,FGV,RJ,SE,Recomendada,Aprovada,60000,0,0,60000
Faixa A,AE,408672/2023-4,Flavia Chaves Alves,UFRJ,RJ,SE,Recomendada,Aprovada,32900,0,0,32900
Faixa A,AE,409208/2023-0,Jandir Pauli,CESME,RS,SU,Recomendada,Aprovada,30000,0,0,30000
Faixa A,AE,404018/2023-8,Daniel Magalhaes Mucci,FEAC/USP,SP,SE,Recomendada,Aprovada,33670,7000,0,40670
Faixa A,AE,403649/2023-4,Aline Mendonca Fraga,UFPR,PR,SU,Recomendada,Aprovada,14000,11100,0,25100
Faixa A,AE,407834/2023-0,Leandro de Almeida Rocco,UFC,CE,NE,Recomendada,Aprovada,0,24750,0,24750
Faixa A,AE,403998/2023-9,Cesar Augusto Tureta de Morais,UFES,ES,SE,Recomendada,Aprovada,13000,12000,0,25000
Faixa A,AE,421919/2023-0,Aurora Carneiro Zen,UFRGS,RS,SU,Recomendada,Aprovada,62340,0,0,62340
Faixa A,AE,406270/2023-6,Ricardo Luis Lopes,UEM,PR,SU,Recomendada,Aprovada,5400,19350,0,24750
Faixa A,AE,421798/2023-8,Ana Paula Capuano da Cruz,FURG,RS,SU,Recomendada,Aprovada,25400,17700,0,43100
Faixa A,AE,406066/2023-0,Renata Peregrino de Brito,PUC-Rio,RJ,SE,Recomendada,Aprovada,35000,8792,0,43792
Faixa A,AE,405111/2023-1,Orleans Silva Martins,UFPB,PB,NE,Recomendada,Aprovada,20000,10000,0,30000
Faixa A,AE,421059/2023-0,Luis Felipe Machado do Nascimento,UFRGS,RS,SU,Recomendada,Aprovada,28745,0,0,28745
Faixa A,AE,402377/2023-0,Reisoli Bender Filho,UFSM,RS,SU,Recomendada,Aprovada,7500,7500,0,15000
Faixa A,AE,403152/2023-2,Anderson Luis do Espirito Santo,UFMS,MS,CO,Recomendada,Aprovada,35000,10000,0,45000
Faixa A,AE,407991/2023-9,Fernando de Souza Coelho,EACH-USP,SP,SE,Recomendada,Aprovada,15000,7000,6720,28720
Faixa A,AE,403551/2023-4,Flavio Santino Bizarrias,ESPM,SP,SE,Recomendada,Aprovada,15000,0,0,15000
Faixa A,AE,405510/2023-3,Jordana Marques Kneipp,UFSM,RS,SU,Recomendada,Aprovada,40000,8000,0,48000
Faixa A,AE,421616/2023-7,Fernando Gomes de Paiva Junior,UFPE,PE,NE,Recomendada,Aprovada,29000,10000,0,39000
Faixa A,AE,404948/2023-5,Rosalia Aldraci Barbosa Lavarda,UFSC,SC,SU,Recomendada,Aprovada,25000,2000,0,27000
Faixa A,AE,408832/2023-1,Maria Glaucia Dourado Furquim,IF Goiano,GO,CO,Recomendada,Aprovada,22000,24000,17160,63160
Faixa A,AE,408267/2023-2,Ana Heloisa da Costa Lemos,PUC/RJ,RJ,SE,Recomendada,Aprovada,20000,11000,0,31000
Faixa A,AE,421085/2023-1,Denis Silva da Silveira,UFPE,PE,NE,Recomendada,Aprovada,34967.01,10000,0,44967.01
Faixa A,AE,407488/2023-5,Samuel Facanha Camara,UECE,CE,NE,Recomendada,Aprovada,26500,3500,50700,80700
Faixa A,AE,404595/2023-5,Juciara Nunes de Alcantara,UFLA,MG,SE,Recomendada,Aprovada,23000,7000,0,30000
Faixa A,AE,421077/2023-9,Marta Olivia Rovedder de Oliveira,UFSM,RS,SU,Recomendada,Aprovada,40000,8000,0,48000
Faixa A,AE,420908/2023-4,Lucas Veiga Avila,UFSM,RS,SU,Recomendada,Aprovada,25000,10000,0,35000
Faixa A,AE,407928/2023-5,Luan Vinicius Bernardelli,UFG,GO,CO,Recomendada,Aprovada,10000,10000,6720,26720
Faixa A,AE,403975/2023-9,Veronica Macario de Oliveira,UFCG,PB,NE,Recomendada,Aprovada,27500,8000,0,35500
Faixa A,AE,409244/2023-6,Paula Chies Schommer,UDESC,SC,SU,Recomendada,Aprovada,20000,0,27720,47720
Faixa A,AE,409469/2023-8,Carlos Henrique Silva do Carmo,UFG,GO,CO,Recomendada,Aprovada,50000,13408.6,0,63408.6
Faixa A,AE,403886/2023-6,Elisabete Stradiotto Siqueira,UFERSA,RN,NE,Recomendada,Aprovada,15000,0,0,15000
Faixa A,AE,405864/2023-0,Marconi Freitas da Costa,UFPE,PE,NE,Recomendada,Aprovada,0,10000,0,10000
Faixa A,AE,409592/2023-4,Rafael Morais Pereira,USP,SP,SE,Recomendada,Aprovada,20000,0,0,20000
Faixa A,AE,402394/2023-2,Diego Costa Mendes,UFV,MG,SE,Recomendada,Aprovada,20000,10000,0,30000
Faixa A,AE,404163/2023-8,Fernanda Lazzari,UCS,RS,SU,Recomendada,Aprovada,30000,8000,0,38000
Faixa A,AE,406587/2023-0,Ana Maria Roux Valentini Coelho Cesar,MACKENZIE,SP,SE,Recomendada,Aprovada,10000,9000,0,19000
Faixa A,AE,409343/2023-4,Dimaria Silva e Meirelles,MACKENZIE,SP,SE,Recomendada,Aprovada,19460,0,0,19460
Faixa A,AE,406422/2023-0,Alexandre Costa Quintana,FURG,RS,SU,Recomendada,Aprovada,15200,18000,3850,37050
Faixa A,AE,408307/2023-4,Samir Adamoglu de Oliveira,UFPB,PB,NE,Recomendada,Aprovada,20000,21000,0,41000
Faixa A,AE,402637/2023-2,Arnaldo Luiz Ryngelblum,UNIP,SP,SE,Recomendada,Aprovada,20000,0,21560,41560
Faixa A,AE,403901/2023-5,Pedro Henrique Evangelista Duarte,UFG,GO,CO,Recomendada,Aprovada,8000,8647,0,16647
Faixa A,AE,402388/2023-2,Andson Braga de Aguiar,FEAC/USP,SP,SE,Recomendada,Aprovada,40000,12000,27720,79720
Faixa A,AE,406285/2023-3,Octavio Ribeiro de Mendonca Neto,MACKENZIE,SP,SE,Recomendada,Aprovada,26450,9300,0,35750
Faixa A,AE,421780/2023-1,Monica Ferreira da Silva,UFRJ,RJ,SE,Recomendada,Aprovada,21500,20300,0,41800
Faixa A,AE,403056/2023-3,Liliane de Oliveira Guimaraes,PUC Minas,MG,SE,Recomendada,Aprovada,22000,7000,0,29000
Faixa A,AE,405275/2023-4,Daiane Mulling Neutzling,UNIFOR,CE,NE,Recomendada,Aprovada,34000,8000,0,42000
Faixa A,AE,405977/2023-9,Silvia Ines Dallavalle de Padua,USP,SP,SE,Recomendada,Aprovada,12400,0,0,12400
Faixa A,AE,406064/2023-7,Janine Fleith de Medeiros,UPF,RS,SU,Recomendada,Aprovada,20000,8000,0,28000
Faixa A,AE,408359/2023-4,Edicreia Andrade dos Santos,UFPR,PR,SU,Recomendada,Aprovada,40000,12000,4620,56620
Faixa A,AE,409021/2023-7,Carlos Adriano Santos Gomes Gordiano,UFC,CE,NE,Recomendada,Aprovada,12000,20000,0,32000
Faixa A,AE,421674/2023-7,Edmilson de Oliveira Lima,UNINOVE,SP,SE,Recomendada,Aprovada,25000,8000,0,33000
Faixa A,AE,402170/2023-7,Denize Demarche Minatti Ferreira,UFSC,SC,SU,Recomendada,Aprovada,33100,7000,0,40100
Faixa A,AE,409059/2023-4,Keysa Manuela Cunha de Mascena,UNIFOR,CE,NE,Recomendada,Aprovada,24000,3000,0,27000
Faixa A,AE,420446/2023-0,Silvio Luiz de Paula,UFPE,PE,NE,Recomendada,Aprovada,22000,7000,0,29000
Faixa A,AE,407880/2023-2,Ieda Margarete Oro,UNOESC,SC,SU,Recomendada,Aprovada,33000,12000,0,45000
Faixa A,AE,421705/2023-0,Elnivan Moreira de Souza,UNICRHISTUS,CE,NE,Recomendada,Aprovada,20000,2500,13860,36360
Faixa A,AE,405104/2023-5,Alexandre Jose Henrique de Oliveira Luna,UFPE,PE,NE,Recomendada,Aprovada,20000,4750,0,24750
Faixa A,AE,409020/2023-0,Samuel de Oliveira Durso,UFMG,MG,SE,Recomendada,Aprovada,20000,7500,0,27500
Faixa A,AE,403035/2023-6,Silvio Roberto Stefani,UNICENTRO,PR,SU,Recomendada,Aprovada,25000,6000,0,31000
Faixa A,AE,406222/2023-1,Umbelina Cravo Teixeira Lagioia,UFPE,PE,NE,Recomendada,Aprovada,14000,7500,0,21500
Faixa A,AE,408280/2023-9,Gean Carlos Tomazzoni,UFSJ,MG,SE,Recomendada,Aprovada,17000,8000,33600,58600
Faixa A,AE,420929/2023-1,Rodrigo Luiz Morais da Silva,UFPR,PR,SU,Recomendada,Aprovada,26000,8000,0,34000
Faixa A,AE,402873/2023-8,Julio Cesar Ferro de Guimaraes,UFPE,PE,NE,Recomendada,Aprovada,35000,8000,0,43000
Faixa A,AE,405713/2023-1,Ronan Torres Quintao,IFSP,SP,SE,Recomendada,Aprovada,26000,8000,0,34000
Faixa A,AE,405726/2023-6,Pedro Guilherme Ribeiro Piccoli,UFPR,PR,SU,Recomendada,Aprovada,10000,10000,0,20000
Faixa A,AE,402516/2023-0,Michele Nascimento Juca,MACKENZIE,SP,SE,Recomendada,Aprovada,18000,0,0,18000
Faixa A,AE,409650/2023-4,Solange Alfinito,UnB,DF,CO,Recomendada,Aprovada,32000,8000,0,40000
Faixa A,AE,409854/2023-9,Gabriel Vidor,UCS,RS,SU,Recomendada,Aprovada,0,0,34320,34320
Faixa A,AE,420171/2023-1,Flavia Luciane Scherer,UFSM,RS,SU,Recomendada,Aprovada,35000,8000,0,43000
Faixa A,AE,402905/2023-7,Henrique Cesar Muzzio de Paiva Barroso,UFPE,PE,NE,Recomendada,Aprovada,24000,16000,0,40000
Faixa A,AE,402696/2023-9,Fagner Jose Coutinho de Melo,UPE,PE,NE,Recomendada,Aprovada,10000,15000,0,25000
Faixa A,AE,404728/2023-5,Marcos de Moraes Sousa,IF GOIANO,GO,CO,Recomendada,Aprovada,20000,10000,0,30000
Faixa A,AE,407275/2023-1,Jefferson David Araujo Sales,UFS,SE,NE,Recomendada,Aprovada,20000,8000,0,28000
Faixa A,AE,407345/2023-0,Daniel Calbino Pinheiro,UFSJ,MG,SE,Recomendada,Aprovada,20865.4,0,0,20865.4
Faixa A,AE,409148/2023-7,Ewerton Alex Avelar,UFMG,MG,SE,Recomendada,Aprovada,35000,8000,0,43000
Faixa A,AE,401932/2023-0,Mauro Vivaldini,UNIP,SP,SE,Recomendada,Aprovada,20000,10000,0,30000
Faixa A,AE,420718/2023-0,Nadia Campos Pereira Bruhn,UFPEL,RS,SU,Recomendada,Aprovada,30000,15000,0,45000
Faixa A,AE,405584/2023-7,Angela Franca Versiani,PUC Minas,MG,SE,Recomendada,Aprovada,30000,10000,8400,48400
Faixa A,AE,405499/2023-0,Alcindo Cipriano Argolo Mendes,UFSC,SC,SU,Recomendada,Aprovada,40000,20000,0,60000
Faixa A,AE,420667/2023-7,Cid Goncalves Filho,FUMEC,MG,SE,Recomendada,Aprovada,0,0,9240,9240
Faixa A,AE,409159/2023-9,Cledinaldo Aparecido Dias,UFMG,MG,SE,Recomendada,Aprovada,21800,0,0,21800
Faixa A,AE,406061/2023-8,Elisabeth de Oliveira Vendramin,UFMS,MS,CO,Recomendada,Aprovada,20000,0,0,20000
Faixa B,AE,403472/2023-7,Eduardo da Motta e Albuquerque,UFMG,MG,SE,Recomendada,Aprovada,31850,20000,31800,83650
Faixa B,AE,404978/2023-1,Jose Luis da Costa Oreiro,CORECON-DF,DF,CO,Recomendada,Aprovada,56950,0,16800,73750
Faixa B,AE,409551/2023-6,Cristiane Drebes Pedron,UNINOVE,SP,SE,Recomendada,Aprovada,27000,8050,0,35050
Faixa B,AE,421105/2023-2,Pedro Vasconcelos Maia do Amaral,UFMG,MG,SE,Recomendada,Aprovada,22600,0,39600,62200
Faixa B,AE,420797/2023-8,Eduardo Pontual Ribeiro,UFRJ,RJ,SE,Recomendada,Aprovada,24020,12500,18480,55000
Faixa B,AE,408050/2023-3,Tatiane Almeida de Menezes,UFPE,PE,NE,Recomendada,Aprovada,31000,16760,9240,57000
Faixa B,AE,407514/2023-6,Marco Antonio Vargas,UFF,RJ,SE,Recomendada,Aprovada,35232,10000,0,45232
Faixa B,AE,408333/2023-5,Gustavo de Britto Rocha,UFMG,MG,SE,Recomendada,Aprovada,12000,10000,23400,45400
Faixa B,AE,409954/2023-3,Giancarlo Gomes,FURB,SC,SU,Recomendada,Aprovada,27000,8050,0,35050
Faixa B,AE,409507/2023-7,Luiz Guilherme Dacar da Silva Scorzafave,USP,SP,SE,Recomendada,Aprovada,40000,0,0,40000
Faixa B,AE,407026/2023-1,Carmem Aparecida do Valle Costa Feijo,UFF,RJ,SE,Recomendada,Aprovada,14200,9000,16800,40000
Faixa B,AE,406296/2023-5,Alexandre Mendes Cunha,UFMG,MG,SE,Recomendada,Aprovada,16140,10000,13860,40000
Faixa B,AE,405586/2023-0,Wagner Junior Ladeira,UNISINOS,RS,SU,Recomendada,Aprovada,40000,15000,0,55000
Faixa B,AE,409255/2023-8,Ricardo da Silva Freguglia,UFJF,MG,SE,Recomendada,Aprovada,30000,10000,0,40000
Faixa B,AE,409536/2023-7,Magnus Luiz Emmendoerfer,UFV,MG,SE,Recomendada,Aprovada,85000,12000,0,97000
Faixa B,AE,406350/2023-0,Ilse Maria Beuren,UFSC,SC,SU,Recomendada,Aprovada,75000,20000,0,95000
Faixa B,AE,406846/2023-5,Patricia Guarnieri,UnB,DF,CO,Recomendada,Aprovada,23000,10000,3360,36360
Faixa B,AE,421015/2023-3,Marcelo J Moreira,FGV,RJ,SE,Recomendada,Aprovada,20000,10000,0,30000
Faixa B,AE,402956/2023-0,Leonardo Flach,UFSC,SC,SU,Recomendada,Aprovada,75000,20000,0,95000
Faixa B,AE,409376/2023-0,Rosilene Marcon,UNIVALI,SC,SU,Recomendada,Aprovada,50000,20000,0,70000
Faixa B,AE,420028/2023-4,Flavio Augusto Ziegelmann,UFRGS,RS,SU,Recomendada,Aprovada,30000,10000,0,40000
Faixa B,AE,404877/2023-0,Rogerio Gomes,UNESP,SP,SE,Recomendada,Aprovada,25000,10000,0,35000
Faixa B,AE,407712/2023-2,Fernando Antonio Ribeiro Serra,UNINOVE,SP,SE,Recomendada,Aprovada,15000,8500,25200,48700
Faixa B,AE,404096/2023-9,Marcelo Cabus Klotzle,AFA,RJ,SE,Recomendada,Aprovada,50000,15000,0,65000
Faixa B,AE,404103/2023-5,Augusto Mussi Alvim,PUCRS,RS,SU,Recomendada,Aprovada,7000,10000,23400,40400
Faixa B,AE,405455/2023-2,Nelson Hein,FURB,SC,SU,Recomendada,Aprovada,25000,6250,0,31250
Faixa B,AE,401720/2023-3,Marcelo Brutti Righi,UFRGS,RS,SU,Recomendada,Aprovada,23000,12000,0,35000
Faixa B,AE,408436/2023-9,Paulo Antonio Zawislak,UFRGS,RS,SU,Recomendada,Aprovada,25000,8000,23400,56400
Faixa B,AE,407326/2023-5,Pedro Luiz Valls Pereira,FGV,RJ,SE,Recomendada,Aprovada,10000,25000,0,35000
Faixa B,AE,405005/2023-7,Roberto Giro Moori,MACKENZIE,SP,SE,Recomendada,Aprovada,12400,11000,0,23400
Faixa B,AE,402212/2023-1,Luiz Carlos de Santana Ribeiro,UFS,SE,NE,Recomendada,Aprovada,30000,17000,0,47000
Faixa B,AE,406098/2023-9,Kadigia Faccin,FDC,MG,SE,Recomendada,Aprovada,20000,0,0,20000
Faixa B,AE,420146/2023-7,Augusta Pelinski Raiher,UEPG,PR,SU,Recomendada,Aprovada,10000,25000,0,35000
Faixa B,AE,404290/2023-0,Marco Aurelio Marques Ferreira,UFV,MG,SE,Recomendada,Aprovada,29500,20000,0,49500
Faixa B,AE,420994/2023-8,Marcelo Alvaro da Silva Macedo,UFRJ,RJ,SE,Recomendada,Aprovada,60000,0,0,60000
Faixa B,AE,402188/2023-3,Vivian Lara dos Santos Silva,FZEA/USP,SP,SE,Recomendada,Aprovada,24000,0,34320,58320
